Query-Performance			Prediction:			1.99			72.0046			0
$$$			Straight			1.99			91.9306			0
Fiana			Raiber			1.33			137.625			0
Faculty			of			1.11			166.011			0
$$$			ABSTRACT			1.33			207.916			0
The			query-performance			1.0			223.91			0
Categories			and			0.89			499.852			0
Keywords:			query-performance			0.89			523.594			0
1.			INTRODUCTION			1.33			550.717			0
The			query-performance			1.0			565.217			0
Permission			to			0.77			633.732			0
of			query-performance			1.0			209.465			0
2.			RELATED			1.33			643.786			0
There			are			1.0			658.286			0
$$$			13			1.0			751.295			0
clarity			of			1.0			57.0405			0
3.			THE			1.33			549.133			0
The			query			1.0			563.633			0
p(R			=			1.0			684.492			0
assignments			to			1.0			700.126			0
These			tasks			1.0			57.0405			0
3.1			Prediction			1.33			94.8311			0
In			the			1.0			109.339			0
pq(R			=			1.0			220.218			0
to			emphasize			1.0			236.347			0
3.2			Prediction			1.33			306.547			0
The			fusion			1.0			321.047			0
pq;c(R			=			1.0			546.999			0
to			emphasize			1.0			563.129			0
3.3			Prediction			1.33			675.16			0
Heretofore,			we			1.0			689.669			0
$$$			14			1.0			751.295			0
prediction			task			0.77			54.6465			0
Table			1:			1.0			117.809			0
However,			these			1.0			241.937			0
Pre-retrieval			prediction.			1.22			315.894			0
The			class			1.0			316.655			0
pc(R			=			1.0			448.818			0
As			was			0.99			465.299			0
1			Pre-retrieval			0.98			691.082			0
Post-retrieval			prediction.			1.22			56.2798			0
Methods			referred			0.99			57.0403			0
pc(R			=			1.0			210.039			0
Equation			5			1.0			226.447			0
3.4			Improved			1.33			369.133			0
Work			on			0.99			383.632			0
The			ability			1.0			561.463			0
2			There			0.99			617.992			0
$$$			15			1.0			751.295			0
A			potential			0.99			57.0405			0
Another			potential			1.0			182.564			0
4			The			0.97			671.785			0
5			Pre-retrieval			0.98			691.082			0
not			be			1.0			57.0405			0
3.5			Learning			1.33			168.343			0
Random			Fields			1.33			179.998			0
With			the			1.0			194.497			0
p(R			=			1.0			284.739			0
This			is			1.0			301.147			0
pR=1(Q,			C,			1.0			456.27			0
Z			Y			1.0			462.345			0
X(G)			are			0.99			483.639			0
$$$			[36]:			1.0			590.858			0
def			=			0.99			587.883			0
Score(Q;			C,			0.95			652.641			0
Most			linear			1.0			679.202			0
$$$			16			1.0			751.295			0
and			the			0.99			57.0405			0
3.5.1			Cliques			1.22			181.308			0
We			consider			1.0			195.019			0
$$$			The			1.22			279.435			0
xQC			clique.			1.11			280.5			0
This			clique			1.0			280.195			0
$$$			The			1.22			479.685			0
xL			clique.			1.11			480.75			0
This			clique			1.0			480.446			0
Figure			1:			1.0			221.516			0
Two			additional			1.0			274.409			0
$$$			The			1.22			379.749			0
xLC			clique.			1.11			380.814			0
This			clique			1.0			380.51			0
$$$			The			1.22			527.691			0
xQLC			clique.			1.11			528.756			0
This			clique			0.99			528.452			0
The			premise			0.99			591.218			0
The			highly			1.0			643.526			0
6			The			0.97			671.785			0
7			The			0.98			691.082			0
$$$			17			1.0			751.295			0
language			model			1.0			57.0405			0
4.			EVALUATION			1.33			195.955			0
We			start			1.0			210.454			0
4.1			Prediction			1.33			280.384			0
4.1.1			Experimental			1.22			302.835			0
The			TREC			1.0			316.547			0
corpus			#			0.77			484.019			0
ROBUST			528,155			0.77			515.194			0
Table			2:			1.0			587.536			0
Titles			of			0.99			620.161			0
8			www.lemurproject.org/indri			0.83			709.018			0
are			used			0.99			57.0405			0
$$$			18			1.0			751.295			0
WSJ			AP			0.77			54.6465			0
Table			3:			1.0			260.026			0
value			of			1.0			300.122			0
4.1.2			Experimental			1.22			508.584			0
The			prediction			1.0			522.295			0
tially			be			1.0			300.122			0
Feature			function			1.22			478.686			0
We			next			0.99			479.447			0
$$$			19			1.0			751.295			0
WSJ			AP			0.77			54.6465			0
Table			4:			1.0			113.534			0
analyze			query-independent			1.0			151.891			0
4.2			Prediction			1.33			316.861			0
We			next			1.0			331.361			0
4.2.1			Experimental			1.22			455.286			0
Let			{li}			1.0			468.998			0
retrieval			score			1.0			493.334			0
def			=			0.94			490.359			0
signed			to			0.99			525.716			0
We			use			1.0			619.865			0
9			Fusion			0.98			700.054			0
TREC			track			0.77			149.497			0
Web			50,220,423			0.77			196.621			0
1-50			TREC19			0.77			184.669			0
Table			5:			1.0			231.389			0
are			independent			0.99			284.021			0
10			We			0.95			689.353			0
l			weights			0.95			694.498			0
rank			to			0.96			700.33			0
$$$			20			1.0			751.295			0
WorstRun			MedianRun			0.77			54.6465			0
TREC7			MAP			0.77			67.1025			0
u			c			0.63			62.0177			0
u			c			0.66			62.0177			0
u			c			0.66			62.0177			0
u			20.5			0.66			62.0177			0
u			c			0.63			62.0177			0
u			c			0.65			62.0177			0
TREC8			MAP			0.77			83.5365			0
u			c			0.63			78.4517			0
u			c			0.63			78.4517			0
u			30.5			0.66			78.4517			0
u			c			0.66			78.4517			0
u			26.6			0.66			78.4517			0
u			c			0.65			78.4517			0
TREC9			MAP			0.77			99.9705			0
u			c			0.63			94.8947			0
u			c			0.63			94.8947			0
u			23.4			0.66			94.8947			0
u			c			0.66			94.8947			0
u			17.1c			0.7			94.8947			0
u			c			0.65			94.8947			0
TREC18			MAP			0.77			116.414			0
u			c			0.63			111.329			0
u			c			0.66			111.329			0
u			c			0.66			111.329			0
u			14.2c			0.7			111.329			0
u			c			0.66			111.329			0
TREC19			MAP			0.77			132.848			0
u			c			0.63			127.772			0
u			c			0.63			127.772			0
u			20.7			0.66			127.772			0
u			c			0.66			127.772			0
u			14.7			0.66			127.772			0
u			c			0.63			127.772			0
u			c			0.66			127.772			0
TREC21			MAP			0.77			165.725			0
u			c			0.63			160.649			0
u			c			0.66			160.649			0
u			c			0.66			160.649			0
u			21.8			0.7			160.649			0
u			c			0.66			160.649			0
Table			6:			1.0			188.251			0
to			be			1.0			249.271			0
4.2.2			Experimental			1.22			289.515			0
The			results			0.99			303.227			0
5.			SUMMARY			1.33			538.099			0
We			framed			1.0			552.599			0
11			Learning-to-rank			0.99			664.189			0
are			suited			1.0			249.271			0
Acknowledgments			We			1.0			315.503			0
6.			REFERENCES			1.33			392.092			0
[1]			J.			0.77			405.233			0
$$$			21			1.0			751.295			0
[14]			W.			0.77			58.5345			0
[44]			M.			0.77			58.5345			0
$$$			APPENDIX			1.33			369.313			0
A.			POST-RETRIEVAL			1.33			387.241			0
$$$			QUERIES			1.33			401.191			0
We			argue			1.0			415.691			0
$$$			22			1.0			751.295			0
